1.20489943428555e-01,1.20041821020503e-01,1.20127423443712e-01,1.20693693586967e-01
1.20481867851653e-01,1.20197630563042e-01,1.20331438500377e-01,1.20920344846814e-01
1.20586221053650e-01,1.20045019317583e-01,1.20320178101000e-01,1.20817919359246e-01
1.20707811743726e-01,1.20073919534543e-01,1.20299801052158e-01,1.20711540955197e-01
1.20553704913475e-01,1.19998755134743e-01,1.19971176919510e-01,1.20615360026655e-01
1.20587578087005e-01,1.20062416782587e-01,1.20158316606469e-01,1.20673707604143e-01
1.20572290978266e-01,1.19934079519093e-01,1.20109745812939e-01,1.20565714364236e-01
1.20590979284346e-01,1.19858849129254e-01,1.20217637964234e-01,1.20520377969324e-01
1.20499098732499e-01,1.19678714939533e-01,1.19964889824025e-01,1.20378779596949e-01
1.20540206525910e-01,1.19575978348873e-01,1.19947992202375e-01,1.20266237426400e-01
1.20440668451272e-01,1.19557457466518e-01,1.19722737770171e-01,1.20153804809503e-01
1.20459462462464e-01,1.19627913474885e-01,1.19873780269857e-01,1.20049257102996e-01
1.20396309357672e-01,1.19495407855765e-01,1.19798716548539e-01,1.19979964207836e-01
1.20348648088516e-01,1.19498150637512e-01,1.19989575485103e-01,1.20045651712770e-01
1.20424143021332e-01,1.19568617661656e-01,1.19853576083270e-01,1.20020595798778e-01
1.20454874994081e-01,1.19701186269630e-01,1.19838037442184e-01,1.20053861433187e-01
1.20456788541658e-01,1.19888163006079e-01,1.19891946705890e-01,1.20210468197611e-01
1.20497803043998e-01,1.19853621835646e-01,1.19989907333977e-01,1.20228003424218e-01
1.20424103058944e-01,1.20078080816071e-01,1.20215621172587e-01,1.20440652055180e-01
1.20401540057906e-01,1.20121093694959e-01,1.20192347972926e-01,1.20433257382009e-01
1.20424332905036e-01,1.19944420351900e-01,1.20111251554337e-01,1.20294986649742e-01
1.20483864236687e-01,1.19889132122986e-01,1.20160854291979e-01,1.20242428592658e-01
1.20503244016583e-01,1.19846203323908e-01,1.20294100136604e-01,1.20205074427156e-01
1.20444820612949e-01,1.19877027334592e-01,1.20532153966635e-01,1.20207939240911e-01
1.20410807332511e-01,1.19858026734644e-01,1.20486226964724e-01,1.20143637526562e-01
1.20479126426040e-01,1.19753674354073e-01,1.20465150720477e-01,1.20038074305153e-01
1.20432650183581e-01,1.19802926286934e-01,1.20481776153219e-01,1.20100706788805e-01
