#algo represents nodefactor-edgefactor-partitionscheme-bpp-lowrannk
algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
20-4-fp-2-8 0.350875 0.0839139 0.748868 15.1398 16.3793 0.0933503 1.24613 13.8003 0.316079 15.888668
20-4-fr-2-16 2.11644 0.00502315 7.30669 25.3475 33.2602 0.0898049 2.76961 22.4881 5.18722 32.65419
20-4-fr-2-48 3.85913 0.0191881 8.69528 73.0667 82.6277 0.490803 7.13797 65.4379 4.81696 81.76198
20-4-fr-2-8 1.85311 0.0442694 8.96625 17.3679 26.7919 0.065634 1.5188 15.7834 7.06887 26.33415
20-64-cp1d-2-16 1.13406 0.0245288 2.3161 43.0098 45.7424 0.120286 26.0115 16.878 1.15751 45.3259
20-64-cp1d-2-48 3.45779 0.0195976 6.78958 125.337 133.005 0.513421 76.5713 48.2524 3.3122 132.12658
20-64-cp1d-2-8 0.652903 0.0438216 1.30931 28.6018 30.2727 0.0636822 16.7571 11.781 0.612585 29.91111
20-64-cp2d-2-16 0.955169 0.0276392 1.90854 42.8446 45.1277 0.100607 26.1799 16.564 0.925732 44.75314
20-64-cp2d-2-48 3.3472 0.0180166 6.56168 123.326 130.739 0.518885 74.6082 48.1987 3.19626 129.88768
20-64-cp2d-2-8 0.626446 0.0311505 1.24033 27.9893 29.575 0.0650392 16.2606 11.6636 0.582735 29.22963
20-64-cr-2-16 1.11675 0.0441743 2.07313 43.1267 45.5482 0.108242 26.7264 16.2921 0.912205 45.19983
20-64-cr-2-48 3.64325 0.0689575 6.95966 123.48 131.343 0.500563 76.8763 46.1035 3.24745 130.43966
20-64-cr-2-8 0.652535 0.0238194 1.27712 28.4385 29.9171 0.0524675 16.9157 11.4703 0.600765 29.71562
20-64-cu-2-16 1.4944 0.0441824 2.52242 43.0832 45.9769 0.109115 26.5765 16.3976 0.983838 45.60562
20-64-cu-2-48 3.75245 0.0579379 7.91613 122.831 131.662 0.495823 75.6229 46.712 4.10375 130.74713
20-64-cu-2-8 0.678973 0.00394179 1.27588 28.2873 29.7448 0.046432 16.8384 11.4025 0.592961 29.56318
20-64-fp-2-16 1.91007 0.00516818 4.31707 43.8837 48.5046 0.100716 27.3121 16.471 2.40185 48.20077
20-64-fp-2-48 5.70282 0.0582327 13.1642 128.068 162.212 0.513352 78.6278 48.9271 7.38311 141.2322
20-64-fp-2-8 1.34258 0.0841688 2.97703 29.8108 33.2199 0.0933848 18.0053 11.7121 1.55028 32.78783
20-64-fr-2-16 5.70542 0.0248186 13.2477 46.8692 60.4413 0.109087 28.8124 17.9477 7.51743 60.1169
20-64-fr-2-48 20.7033 0.019238 41.8097 128.065 170.763 0.498754 77.4097 50.1564 21.0872 169.8747
20-64-fr-2-8 3.48782 0.0263429 6.86645 31.6483 38.8049 0.0950528 20.0324 11.5208 3.35228 38.51475
20-8-cp1d-2-16 0.398688 0.00479954 1.72165 24.5279 26.5602 0.0918768 3.88237 20.5536 1.31796 26.24955
20-8-cp1d-2-48 1.3188 0.0186212 3.58396 74.3565 78.7727 0.497783 12.0035 61.8552 2.24655 77.94046
20-8-cp1d-2-8 0.349563 0.0249379 1.69166 16.2577 18.1807 0.0536724 2.42861 13.7755 1.31716 17.94936
20-8-cp2d-2-16 0.482237 0.0247277 2.18709 25.3863 27.9378 0.107204 3.88893 21.3901 1.68012 27.57339
20-8-cp2d-2-48 1.1681 0.0980635 3.18941 74.8686 78.9325 0.560844 11.8467 62.461 1.94324 78.05801
20-8-cp2d-2-8 0.434624 0.0242011 2.05931 16.5327 18.8854 0.0568458 2.37583 16.1 1.60048 18.59201
20-8-cr-2-16 0.495068 0.0445578 2.36605 24.8249 27.6507 0.137101 3.9575 20.7303 1.82642 27.19095
20-8-cr-2-48 1.37726 0.0187988 2.85342 74.738 78.431 0.493783 12.07 62.1742 1.45736 77.59142
20-8-cr-2-8 0.268905 0.00818835 1.8784 16.4635 18.5999 0.0627757 2.45055 13.9502 1.6013 18.3419
20-8-cu-2-16 0.568283 0.024407 1.59332 24.0116 25.9027 0.100062 3.86292 20.0486 1.00063 25.60492
20-8-cu-2-48 1.6972 0.0191896 4.41506 74.6733 79.9487 0.496579 12.3302 61.8465 2.69866 79.08836
20-8-cu-2-8 0.428379 0.0651679 1.73766 16.4942 18.7464 0.0646196 2.558 13.8715 1.24411 18.23186
20-8-fp-2-16 1.21162 0.0450717 4.90772 26.9786 32.4903 0.110611 4.20736 22.6606 3.65103 31.88632
20-8-fp-2-48 1.98168 0.0190694 6.82647 76.6759 84.3837 0.511172 12.2002 63.9646 4.82591 83.50237
20-8-fp-2-8 0.665854 0.0482938 3.52421 17.5166 21.6303 0.0844171 2.71626 16.7139 2.81006 21.04081
20-8-fr-2-16 2.16435 0.00528325 6.99968 26.6547 34.0003 0.0897023 4.4104 22.1546 4.83004 33.65438
20-8-fr-2-48 5.79562 0.0694078 13.5549 75.0763 89.5166 0.495343 12.7294 61.8516 7.68984 88.6312
20-8-fr-2-8 1.55786 0.0517249 7.89456 19.0285 27.3564 0.0749123 2.73322 16.2204 6.28498 26.92306
