p cp cr un ur
16 208.4 200.86 400.8 206.98
48 86.24 70.21 226.55 76.79
96 44.53 34.26 203.04 44.72
192 24.45 17.87 144.38 30.88
384 13.49 9.38 90.23 14.96
768 6.89 5.24 71.49 10.16
1536 5.21 4.7 60.49 18.03
3072 7.98 6.95 78.43 48.26
