algo gram mm nnls allgather reducescatter
cp 0.84 1.54 1.3 0.71 0.63
cr 0.11 1.3 0.82 0.92 0.97
un 0.1 8.83 0.72 4.26 5.36
ur 0.17 4.02 0.76 4.29 5.64

