algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
20-16-nat-2-8 0.859684 0.0433949 2.07209 17.2593 19.7228 0.0652918 4.966 12.228 1.16901 19.33139
20-16-rnd-2-8 0.884565 0.0433963 2.09666 17.2475 19.7416 0.063179 4.88333 12.301 1.1687 19.34416
20-32-nat-2-8 0.854159 0.00383317 2.00723 21.0391 23.2908 0.0447389 9.13903 11.8554 1.14924 23.04633
20-32-rnd-2-8 0.805704 0.0155024 1.99962 21.0856 23.4624 0.0652888 9.24393 11.7764 1.17842 23.08522
20-4-nat-2-8 0.886173 0.0434015 2.14365 14.5467 17.0969 0.0639752 1.56031 12.9224 1.21407 16.69035
20-4-rnd-2-8 0.860636 0.0234402 2.04802 14.5615 16.9339 0.0553352 1.55021 12.9559 1.16395 16.60952
20-64-nat-2-8 0.829254 0.00360789 1.97893 28.237 30.5014 0.0450676 16.8641 11.3278 1.14607 30.21593
20-64-rnd-2-8 0.841168 0.0306326 2.08861 28.4772 30.9771 0.05406 17.0506 11.3725 1.21681 30.56581
20-8-nat-2-8 1.08241 0.0433122 2.31537 15.2887 18.0078 0.0634855 2.71917 12.506 1.18965 17.60407
20-8-rnd-2-8 0.866685 0.0235486 2.11166 15.395 17.894 0.0436962 2.76146 12.5898 1.22143 17.50666
