p cp cr un ur
16 290.49 291.82 251.5 262.34
48 105.9 100.92 146.08 100.53
96 58.61 54.49 77.19 52.62
192 30.09 27.11 60.11 39.16
384 15.46 16.01 33.55 17.09
768 9.76 7.73 23.98 10.91
1536 8.82 4.61 16.76 8.18
3072 5.02 4.12 19.27 14.88
