algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
20-16-nat 5.52112 0.0675634 14.332 80.9142 96.7878 0.503609 24.3582 56.0525 8.74329 95.2462
20-16-rnd 5.55172 0.0178358 14.395 80.3413 96.1108 0.502807 24.3933 55.4452 8.82549 94.7363
20-32-nat 5.42124 0.0205503 14.2336 95.0031 110.722 0.495128 43.8477 50.6602 8.79182 109.2367
20-32-rnd 5.6073 0.101518 14.3737 95.8959 111.959 0.528916 43.8959 51.4711 8.66484 110.2696
20-4-nat 5.53622 0.0182055 14.1089 72.1081 87.7206 0.495883 8.3701 63.2421 8.55448 86.217
20-4-rnd 5.56451 0.0177054 14.1542 72.2507 87.8527 0.494839 8.36 63.3959 8.57201 86.4049
20-64-nat 5.5765 0.0606542 14.2298 123.059 138.738 0.506126 75.7391 46.8135 8.59269 137.2888
20-64-rnd 5.52417 0.102969 14.2689 124.734 140.569 0.513249 77.9295 46.2909 8.64173 139.0029
20-8-nat 5.49437 0.0615193 14.1886 74.2987 90.0401 0.506758 13.987 59.805 8.63268 88.4873
20-8-rnd 5.68034 0.0206385 14.3228 74.7674 90.486 0.497391 14.2603 60.0096 8.62182 89.0902
