edgefactor	collective	cp1d	cp2d	cr	cu
4	16.6716	20.1785	19.7519	17.1409	17.3149
8	17.0188	17.2979	17.0994	17.2798	17.3976
16	18.1027	17.6156	17.625	17.8652	17.9558
32	19.9112	19.7964	18.2215	18.978	19.1587
64	22.1654	19.4009	21.4252	19.7676	20.4303
