p cp cr un ur
16 855.71 842.3 1423.05 835.78
48 351.89 279.71 705.16 292.65
96 179.75 141.48 602.48 162.59
192 99.79 71.29 379.09 89.21
384 53.51 37.77 260.67 51.67
768 27.81 19.65 202.42 296.05 
1536 20.04 17.65 173.84 43.74
3072 30.14 30.04 250.75 171.15
