algo gram mm nnls allgather reducescatter
cp 0.79 21.93 1.69 2.17 2.04
cr 0.31 18.8 1.06 2.41 2.38
un 0.34 18.93 1.08 2.24 2.53
ur 0.31 16.56 0.95 2.19 2.48
