algo gram mm nnls allgather reducescatter
cp 14.06 169.92 68.67 18 19.84
cr 14.31 170.27 69.89 17.64 19.71
un 15.59 156.53 64.02 5.47 9.89
ur 17 164.97 64.57 5.84 9.96
