algo gram mm nnls allgather reducescatter
cp 155.09 817.55 431.47 52.57 57.05
cr 161.96 502.12 436.37 50.39 54.91
un 154.19 456.55 411.23 16.75 29.68
ur 162.74 474.05 447.51 16.8 29.7
