algo gram mm nnls allgather reducescatter
cp 0.19 1.78 1.57 2.42 2.02
cr 0.17 1.21 1.34 2.28 1.95
un 0.12 37.96 1.08 10.64 28.63
ur 0.17 8.42 1.17 10.33 28.17
