algo gram mm nnls allgather reducescatter
cp 15.75 116.45 53.79 10.72 11.69
cr 16.03 108.18 54.5 10.42 11.73
un 15.83 317.46 48.95 5.07 13.49
ur 14.45 126.16 47.73 5.1 13.54
