p        cr         cp           
256      123.6      162.0
512      58.0       94.9  
1024     30.0       51.3  
2048     15.0       25.1  
4096     9.4        12.8    
8192     4.3        7.0    
16384    3.5        4.5    
32768    5.1        4.8
