algo gram mm nnls allgather reducescatter
cp 1.34 7.56 6.1 7.82 7.32
cr 0.85 6.61 7.36 8.19 7.03
un 1.03 102.4 6.91 40.75 99.66
ur 0.9 17.36 7.59 42.77 102.53
