algo gram mm nnls allgather reducescatter
cp 0.25 7.5 0.59 0.68 1.13
cr 0.05 6.67 0.29 0.96 0.77
un 0.06 7.13 0.33 1.27 0.94
ur 0.05 6.86 0.23 1.26 1.05
