algo gram mm nnls allgather reducescatter
cp 125.85 108.13 252.88 32.35 32.17
cr 124.69 102.07 260.68 30.76 32.42
un 127.8 919.56 321.5 15.45 40.56
ur 111.96 361.05 306.18 15.44 40.55

