algo     gram   mm      nnls    err       comm
cp-fl     23.84  37.88   33.15   14.41     3.80
cr-fl     15.39  32.80   32.93   9.09      3.74
cp-dl     24.38  31.15   31.2    5.68      2.14
cr-dl     8.92   18.5    25.53   2.45      2.39
