iter	k	algo	totaltime	relerr
24	16	6	4.68244	0.522507
25	16	6	4.86438	0.522491
26	16	6	5.04706	0.522475
27	16	6	5.22896	0.52246
28	16	6	5.41346	0.522446
29	16	6	5.62881	0.522434
0	32	0	0.25846	0.545194
1	32	0	0.448719	0.543387
2	32	0	0.639392	0.54191
3	32	0	0.834097	0.54068
4	32	0	1.02262	0.53964
5	32	0	1.21128	0.538749
6	32	0	1.39999	0.537978
7	32	0	1.58683	0.537304
8	32	0	1.77551	0.536709
9	32	0	1.96205	0.53618
10	32	0	2.1486	0.535707
11	32	0	2.34011	0.535282
12	32	0	2.52913	0.534896
13	32	0	2.71598	0.534546
14	32	0	2.90534	0.534225
15	32	0	3.09109	0.533931
16	32	0	3.27977	0.53366
17	32	0	3.4664	0.53341
18	32	0	3.66957	0.533177
19	32	0	3.90369	0.53296
20	32	0	4.09535	0.532758
21	32	0	4.28351	0.532568
22	32	0	4.47236	0.53239
23	32	0	4.66195	0.532222
24	32	0	4.84828	0.532063
25	32	0	5.03426	0.531913
26	32	0	5.22134	0.531771
27	32	0	5.40877	0.531635
28	32	0	5.59324	0.531506
29	32	0	5.77957	0.531382
0	32	1	0.318777	0.529229
1	32	1	0.510768	0.528616
2	32	1	0.70432	0.528371
3	32	1	0.897389	0.528205
4	32	1	1.09481	0.528111
5	32	1	1.28564	0.528052
6	32	1	1.49113	0.528005
7	32	1	1.70753	0.527961
8	32	1	1.89895	0.52792
9	32	1	2.08969	0.527887
10	32	1	2.28028	0.52786
11	32	1	2.47084	0.527842
12	32	1	2.66112	0.527826
13	32	1	2.861	0.527813
14	32	1	3.05432	0.527802
15	32	1	3.24517	0.527792
16	32	1	3.43484	0.527785
17	32	1	3.6281	0.527779
18	32	1	3.81946	0.527774
19	32	1	4.00985	0.527769
20	32	1	4.20839	0.527754
21	32	1	4.40369	0.52773
22	32	1	4.59593	0.527719
23	32	1	4.78806	0.527712
24	32	1	4.97736	0.527705
25	32	1	5.19598	0.527695
26	32	1	5.38917	0.527686
27	32	1	5.58015	0.527677
28	32	1	5.77597	0.527671
29	32	1	5.97451	0.527668
0	32	2	0.260169	0.540821
1	32	2	0.450037	0.528885
2	32	2	0.646291	0.526679
3	32	2	0.834296	0.526532
4	32	2	1.0251	0.527579
5	32	2	1.21352	0.528949
6	32	2	1.41021	0.529595
7	32	2	1.59939	0.528329
8	32	2	1.78868	0.527135
9	32	2	1.97695	0.525891
10	32	2	2.16533	0.524874
11	32	2	2.35157	0.524321
12	32	2	2.5391	0.524037
13	32	2	2.72553	0.523896
14	32	2	2.93039	0.523782
15	32	2	3.11729	0.523664
16	32	2	3.30485	0.523516
17	32	2	3.49112	0.523344
18	32	2	3.67932	0.523211
19	32	2	3.86879	0.523107
20	32	2	4.05586	0.523017
21	32	2	4.24333	0.522938
22	32	2	4.43187	0.522862
23	32	2	4.62281	0.5228
24	32	2	4.81205	0.522723
25	32	2	4.99947	0.522646
26	32	2	5.18846	0.522569
27	32	2	5.38636	0.522512
28	32	2	5.57405	0.52246
29	32	2	5.76359	0.522402
0	32	4	0.269529	0.527104
1	32	4	0.464192	0.524908
2	32	4	0.661795	0.52437
3	32	4	0.859336	0.524138
4	32	4	1.07151	0.524007
5	32	4	1.26758	0.523918
6	32	4	1.46102	0.523852
7	32	4	1.65872	0.523798
8	32	4	1.86129	0.523753
9	32	4	2.05932	0.523713
10	32	4	2.25348	0.523676
11	32	4	2.45528	0.523642
12	32	4	2.64796	0.52361
13	32	4	2.84211	0.52358
14	32	4	3.03649	0.523551
15	32	4	3.22992	0.523521
16	32	4	3.42317	0.523488
17	32	4	3.63242	0.523454
18	32	4	3.82449	0.523421
19	32	4	4.01676	0.523392
20	32	4	4.21905	0.523368
21	32	4	4.41642	0.523347
22	32	4	4.61101	0.523328
23	32	4	4.80331	0.523309
24	32	4	5.00475	0.52329
25	32	4	5.19987	0.523268
26	32	4	5.39391	0.523243
27	32	4	5.5863	0.523208
28	32	4	5.78285	0.523159
29	32	4	5.99754	0.523089
0	32	5	0.476169	0.525738
1	32	5	0.768536	0.524096
2	32	5	1.07759	0.523653
3	32	5	1.35535	0.523428
4	32	5	1.64947	0.523291
5	32	5	1.96849	0.523189
6	32	5	2.24529	0.523103
7	32	5	2.61938	0.523024
8	32	5	2.99252	0.522946
9	32	5	3.40862	0.522865
10	32	5	3.77965	0.522775
11	32	5	4.1806	0.522663
12	32	5	4.5519	0.52249
13	32	5	4.93255	0.522208
14	32	5	5.31782	0.521713
15	32	5	5.71856	0.521122
16	32	5	6.0908	0.520832
17	32	5	6.51862	0.520689
18	32	5	6.90207	0.520592
19	32	5	7.29007	0.520518
20	32	5	7.68205	0.520458
21	32	5	8.12911	0.520406
22	32	5	8.52008	0.52036
23	32	5	8.9366	0.520319
24	32	5	9.33122	0.520283
25	32	5	9.82152	0.520251
26	32	5	10.2255	0.520222
27	32	5	10.672	0.520196
28	32	5	11.1064	0.520172
29	32	5	11.5117	0.52015
0	32	6	0.257097	0.527322
1	32	6	0.445209	0.524934
2	32	6	0.631329	0.523629
3	32	6	0.818102	0.522556
4	32	6	1.00696	0.521491
5	32	6	1.2538	0.521133
6	32	6	1.44	0.520978
7	32	6	1.62821	0.520603
8	32	6	1.81635	0.52007
9	32	6	2.00527	0.519823
10	32	6	2.19564	0.519646
11	32	6	2.38436	0.51958
12	32	6	2.57178	0.519404
13	32	6	2.75851	0.519372
14	32	6	2.94706	0.519326
15	32	6	3.13263	0.519171
16	32	6	3.31829	0.519084
17	32	6	3.50978	0.519037
18	32	6	3.69668	0.519003
19	32	6	3.88535	0.518974
20	32	6	4.09172	0.518951
21	32	6	4.28116	0.51893
22	32	6	4.4696	0.518906
23	32	6	4.65598	0.518878
24	32	6	4.8454	0.518847
25	32	6	5.03203	0.51882
26	32	6	5.2182	0.518794
27	32	6	5.40458	0.518767
28	32	6	5.5916	0.518735
29	32	6	5.77615	0.518706
0	48	0	0.250879	0.53991
1	48	0	0.447768	0.539015
2	48	0	0.647726	0.538241
3	48	0	0.852312	0.537562
4	48	0	1.05612	0.536961
5	48	0	1.25623	0.536427
6	48	0	1.45946	0.535947
7	48	0	1.65747	0.535514
8	48	0	1.85495	0.535122
9	48	0	2.05463	0.534764
10	48	0	2.25001	0.534436
11	48	0	2.45007	0.534134
12	48	0	2.64483	0.533856
13	48	0	2.84321	0.533597
14	48	0	3.04344	0.533356
15	48	0	3.23904	0.533132
16	48	0	3.44454	0.532921
17	48	0	3.64375	0.532724
18	48	0	3.84703	0.532538
19	48	0	4.04784	0.532362
20	48	0	4.24506	0.532195
21	48	0	4.43831	0.532037
22	48	0	4.63677	0.531887
23	48	0	4.83071	0.531743
24	48	0	5.01961	0.531606
25	48	0	5.21956	0.531474
26	48	0	5.41674	0.531348
27	48	0	5.66519	0.531227
28	48	0	5.86712	0.53111
29	48	0	6.0905	0.530997
0	48	1	0.254202	0.529315
1	48	1	0.463269	0.528523
2	48	1	0.668901	0.528166
3	48	1	0.875447	0.528018
4	48	1	1.14719	0.527929
5	48	1	1.35723	0.527877
6	48	1	1.56661	0.527826
7	48	1	1.77044	0.527789
8	48	1	1.97304	0.527756
9	48	1	2.17492	0.527726
10	48	1	2.38335	0.527699
11	48	1	2.59942	0.527677
12	48	1	2.80299	0.527658
13	48	1	3.00303	0.527643
14	48	1	3.20866	0.527628
15	48	1	3.45161	0.527616
16	48	1	3.65921	0.527608
17	48	1	3.85841	0.527603
18	48	1	4.07531	0.527595
19	48	1	4.28605	0.527583
20	48	1	4.49049	0.52757
21	48	1	4.70521	0.527559
22	48	1	4.9365	0.52755
23	48	1	5.14384	0.527544
24	48	1	5.34342	0.527538
25	48	1	5.54529	0.527531
26	48	1	5.74973	0.527523
27	48	1	5.95526	0.527515
28	48	1	6.15426	0.52751
29	48	1	6.35343	0.527506
0	48	2	0.260337	0.542277
1	48	2	0.461317	0.530982
2	48	2	0.66124	0.528896
3	48	2	0.863022	0.528642
4	48	2	1.06351	0.529891
5	48	2	1.27095	0.529004
6	48	2	1.47589	0.526911
7	48	2	1.67844	0.525155
8	48	2	1.87949	0.523937
9	48	2	2.08177	0.523211
10	48	2	2.28343	0.52278
11	48	2	2.48204	0.522553
12	48	2	2.67949	0.522404
13	48	2	2.88399	0.522322
14	48	2	3.08499	0.52224
15	48	2	3.28495	0.522192
16	48	2	3.48574	0.522145
17	48	2	3.69015	0.522077
18	48	2	3.88897	0.521989
19	48	2	4.08956	0.521876
20	48	2	4.28858	0.521768
21	48	2	4.49033	0.521668
22	48	2	4.69166	0.521575
23	48	2	4.89331	0.521471
24	48	2	5.09194	0.521363
25	48	2	5.29513	0.521276
26	48	2	5.4935	0.521187
27	48	2	5.68959	0.521124
28	48	2	5.9431	0.521072
29	48	2	6.14819	0.521023
0	48	4	0.273768	0.525497
1	48	4	0.482787	0.52324
2	48	4	0.694316	0.522637
3	48	4	0.938592	0.522328
4	48	4	1.1594	0.522121
5	48	4	1.37567	0.521944
6	48	4	1.58471	0.521752
7	48	4	1.80243	0.521513
8	48	4	2.01868	0.521238
9	48	4	2.22166	0.520933
10	48	4	2.44195	0.520533
11	48	4	2.6569	0.52001
12	48	4	2.8647	0.519714
13	48	4	3.07775	0.519557
14	48	4	3.29275	0.519456
15	48	4	3.52363	0.519384
16	48	4	3.7317	0.519329
17	48	4	3.93436	0.519283
18	48	4	4.14733	0.519245
19	48	4	4.36754	0.519211
20	48	4	4.57005	0.519182
21	48	4	4.78431	0.519156
22	48	4	5.01323	0.519131
23	48	4	5.22856	0.519108
24	48	4	5.45171	0.519087
25	48	4	5.66154	0.519067
26	48	4	5.87084	0.519048
27	48	4	6.109	0.51903
28	48	4	6.31376	0.519015
29	48	4	6.51668	0.519
0	48	5	0.523534	0.524487
1	48	5	0.861019	0.522561
2	48	5	1.22775	0.521955
3	48	5	1.54616	0.521523
4	48	5	1.91839	0.521121
5	48	5	2.23725	0.520596
6	48	5	2.54663	0.519978
7	48	5	2.99047	0.51943
8	48	5	3.403	0.519048
9	48	5	3.83279	0.518787
10	48	5	4.27806	0.518586
11	48	5	4.69465	0.518419
12	48	5	5.12086	0.518279
13	48	5	5.55119	0.51816
14	48	5	6.02041	0.518061
15	48	5	6.45984	0.517977
16	48	5	6.89542	0.517903
17	48	5	7.32748	0.517836
18	48	5	7.83495	0.517773
19	48	5	8.32494	0.517715
20	48	5	8.76884	0.517659
21	48	5	9.24883	0.517608
22	48	5	9.68867	0.51756
23	48	5	10.2057	0.517516
24	48	5	10.7157	0.517476
25	48	5	11.1531	0.517439
26	48	5	11.6029	0.517404
27	48	5	12.0418	0.517372
28	48	5	12.5719	0.517342
29	48	5	13.0717	0.517313
0	48	6	0.254318	0.527071
1	48	6	0.458524	0.523912
2	48	6	0.657303	0.52137
3	48	6	0.863625	0.519103
4	48	6	1.06628	0.518098
5	48	6	1.26863	0.517579
6	48	6	1.46591	0.517432
7	48	6	1.67303	0.517442
8	48	6	1.86678	0.517441
9	48	6	2.06822	0.517063
10	48	6	2.2633	0.516742
11	48	6	2.45856	0.516661
12	48	6	2.65475	0.516598
13	48	6	2.85392	0.516594
14	48	6	3.04658	0.516475
15	48	6	3.24823	0.516198
16	48	6	3.44677	0.515911
17	48	6	3.65004	0.515778
18	48	6	3.84796	0.515679
19	48	6	4.0505	0.515612
20	48	6	4.24574	0.515554
21	48	6	4.4434	0.515507
22	48	6	4.64429	0.515469
23	48	6	4.83701	0.515438
24	48	6	5.03326	0.515414
25	48	6	5.22584	0.515395
26	48	6	5.42504	0.515383
27	48	6	5.62269	0.515393
28	48	6	5.81434	0.515504
29	48	6	6.00825	0.515602
0	64	0	0.315776	0.537672
1	64	0	0.521947	0.537061
2	64	0	0.723736	0.53652
3	64	0	0.932805	0.536033
4	64	0	1.14018	0.535593
5	64	0	1.34347	0.535194
6	64	0	1.54199	0.534828
7	64	0	1.74682	0.534493
8	64	0	1.94917	0.534184
9	64	0	2.1511	0.533898
10	64	0	2.3556	0.533633
11	64	0	2.55494	0.533385
12	64	0	2.74777	0.533153
13	64	0	2.94807	0.532936
14	64	0	3.15318	0.532731
15	64	0	3.34874	0.532538
16	64	0	3.54957	0.532355
17	64	0	3.75199	0.532182
18	64	0	3.95217	0.532017
19	64	0	4.15574	0.53186
20	64	0	4.35314	0.53171
21	64	0	4.55085	0.531566
22	64	0	4.74696	0.531428
23	64	0	4.97361	0.531295
24	64	0	5.17418	0.531168
25	64	0	5.37219	0.531044
26	64	0	5.57194	0.530925
27	64	0	5.77408	0.53081
28	64	0	5.97164	0.530698
29	64	0	6.16704	0.530589
0	64	1	0.258584	0.529029
1	64	1	0.475702	0.528162
2	64	1	0.696297	0.527776
3	64	1	0.913184	0.527576
4	64	1	1.13567	0.527466
5	64	1	1.36104	0.527384
6	64	1	1.57867	0.527318
7	64	1	1.79253	0.527256
8	64	1	2.00402	0.527209
9	64	1	2.23761	0.527174
10	64	1	2.44609	0.527149
11	64	1	2.65872	0.527124
12	64	1	2.8762	0.527092
13	64	1	3.08576	0.527065
14	64	1	3.29603	0.527046
15	64	1	3.5019	0.527029
16	64	1	3.70757	0.527015
17	64	1	3.91767	0.527006
18	64	1	4.12495	0.526998
19	64	1	4.33442	0.526991
20	64	1	4.55629	0.526985
21	64	1	4.76417	0.526979
22	64	1	4.97366	0.526975
23	64	1	5.19015	0.526972
24	64	1	5.40164	0.526969
25	64	1	5.61162	0.526966
26	64	1	5.81934	0.526963
27	64	1	6.02797	0.526959
28	64	1	6.24218	0.526956
29	64	1	6.44952	0.526952
0	64	2	0.259728	0.545635
1	64	2	0.470839	0.535431
2	64	2	0.684514	0.533399
3	64	2	0.893633	0.53168
4	64	2	1.10293	0.53023
