runs	algo	iter	totaltime	err	relerr
2	HALS	21	25.2	963.943	0.999212
2	HALS	22	26.34	963.943	0.999212
2	HALS	23	27.49	963.942	0.999212
2	HALS	24	28.63	963.942	0.999211
2	HALS	25	29.77	963.942	0.999211
2	HALS	26	30.92	963.942	0.999211
2	HALS	27	32.06	963.942	0.999211
2	HALS	28	33.21	963.941	0.99921
2	HALS	29	34.36	963.941	0.99921
#2	BPP	1	3.28	968.822	1.00427
2	BPP	2	4.92	963.989	0.99926
2	BPP	3	6.56	963.952	0.999221
2	BPP	4	8.2	963.942	0.999211
2	BPP	5	9.84	963.935	0.999204
2	BPP	6	11.48	963.931	0.9992
2	BPP	7	13.12	963.93	0.999198
2	BPP	8	14.76	963.929	0.999198
2	BPP	9	16.4	963.929	0.999197
2	BPP	10	18.05	963.928	0.999197
2	BPP	11	19.69	963.928	0.999197
2	BPP	12	21.33	963.928	0.999197
2	BPP	13	22.97	963.928	0.999196
2	BPP	14	24.61	963.928	0.999196
2	BPP	15	26.26	963.928	0.999196
2	BPP	16	27.9	963.928	0.999196
2	BPP	17	29.55	963.928	0.999196
2	BPP	18	31.18	963.927	0.999196
2	BPP	19	32.83	963.927	0.999196
2	BPP	20	34.47	963.927	0.999195
2	BPP	21	36.11	963.926	0.999195
2	BPP	22	37.75	963.926	0.999195
2	BPP	23	39.39	963.926	0.999195
2	BPP	24	41.03	963.926	0.999195
2	BPP	25	42.67	963.926	0.999194
2	BPP	26	44.31	963.926	0.999194
2	BPP	27	45.95	963.926	0.999194
2	BPP	28	47.59	963.926	0.999194
2	BPP	29	49.23	963.926	0.999194
3	MU	1	2.09	964.703	1
3	MU	2	3.14	964.606	0.9999
3	MU	3	4.28	964.45	0.999738
3	MU	4	5.56	964.312	0.999595
3	MU	5	7.05	964.218	0.999498
3	MU	6	8.68	964.16	0.999437
3	MU	7	10.21	964.126	0.999402
3	MU	8	11.58	964.102	0.999377
3	MU	9	12.84	964.082	0.999357
3	MU	10	14.01	964.063	0.999336
3	MU	11	15.14	964.047	0.99932
3	MU	12	16.27	964.037	0.99931
3	MU	13	17.43	964.031	0.999303
3	MU	14	18.52	964.026	0.999298
3	MU	15	19.61	964.022	0.999294
3	MU	16	20.69	964.017	0.999289
3	MU	17	21.78	964.014	0.999286
3	MU	18	22.86	964.012	0.999283
3	MU	19	23.93	964.01	0.999282
3	MU	20	25	964.009	0.999281
3	MU	21	26.06	964.008	0.99928
3	MU	22	27.12	964.008	0.999279
3	MU	23	28.18	964.007	0.999278
3	MU	24	29.24	964.006	0.999277
3	MU	25	30.3	964.005	0.999276
3	MU	26	31.35	964.004	0.999275
3	MU	27	32.41	964.003	0.999275
