iter	k	algo	totaltime	relerr
26	96	1	139.537	0.527473
27	96	1	144.689	0.527471
28	96	1	149.838	0.52747
29	96	1	154.986	0.527469
0	32	2	2.0089	0.544452
1	32	2	3.9495	0.529665
2	32	2	5.8897	0.526771
3	32	2	7.8262	0.525872
4	32	2	9.76666	0.525569
5	32	2	11.7036	0.525405
6	32	2	13.6436	0.525393
7	32	2	15.5801	0.525523
8	32	2	17.5198	0.52598
9	32	2	19.4579	0.527309
10	32	2	21.3977	0.529176
11	32	2	23.3372	0.528363
12	32	2	25.2821	0.526529
13	32	2	27.2273	0.525197
14	32	2	29.1729	0.524269
15	32	2	31.1157	0.523675
16	32	2	33.0584	0.523276
17	32	2	35.0022	0.522999
18	32	2	36.9499	0.522821
19	32	2	38.8958	0.52269
20	32	2	40.8433	0.52259
21	32	2	42.7868	0.522528
22	32	2	44.7378	0.522492
23	32	2	46.6834	0.522459
24	32	2	48.6307	0.522437
25	32	2	50.5716	0.522418
26	32	2	52.5169	0.522409
27	32	2	54.46	0.522407
28	32	2	56.4118	0.522417
29	32	2	58.3583	0.522442
0	64	2	3.62593	0.543298
1	64	2	7.19859	0.534452
2	64	2	10.78	0.531986
3	64	2	14.35	0.531795
4	64	2	17.9265	0.528874
5	64	2	21.4917	0.526257
6	64	2	25.063	0.524822
7	64	2	28.6316	0.52388
8	64	2	32.2003	0.52324
9	64	2	35.7682	0.522845
10	64	2	39.3419	0.522573
11	64	2	42.9126	0.522316
12	64	2	46.488	0.522094
13	64	2	50.056	0.521958
14	64	2	53.6231	0.521842
15	64	2	57.1969	0.521735
16	64	2	60.7731	0.521607
17	64	2	64.3435	0.521437
18	64	2	67.9121	0.521279
19	64	2	71.4817	0.521121
20	64	2	75.0448	0.52098
21	64	2	78.6056	0.520858
22	64	2	82.1797	0.520754
23	64	2	85.7399	0.520648
24	64	2	89.3064	0.520555
25	64	2	92.8718	0.520486
26	64	2	96.4412	0.520424
27	64	2	100.002	0.520381
28	64	2	103.573	0.520352
29	64	2	107.14	0.520334
0	96	2	4.85229	0.555892
1	96	2	9.64606	0.546418
2	96	2	14.4391	0.540132
3	96	2	19.2238	0.534558
4	96	2	24.2195	0.530673
5	96	2	29.3727	0.528068
6	96	2	34.5407	0.526302
7	96	2	39.6918	0.524847
8	96	2	44.8481	0.523783
9	96	2	50.0053	0.523032
10	96	2	55.1723	0.522542
11	96	2	60.3342	0.522142
12	96	2	65.5	0.521871
13	96	2	70.6579	0.521658
14	96	2	75.8195	0.521457
15	96	2	80.9751	0.521257
16	96	2	86.1506	0.521056
17	96	2	91.3132	0.520927
18	96	2	96.478	0.520854
19	96	2	101.647	0.52073
20	96	2	106.82	0.520584
21	96	2	111.983	0.520492
22	96	2	117.154	0.520525
23	96	2	122.319	0.520605
24	96	2	127.502	0.520658
25	96	2	132.677	0.520681
26	96	2	137.848	0.520703
27	96	2	143.028	0.52073
28	96	2	148.211	0.520743
29	96	2	153.386	0.520747
0	32	4	2.0126	0.527053
1	32	4	3.95854	0.524867
2	32	4	5.90356	0.524281
3	32	4	7.84416	0.524076
4	32	4	9.83129	0.523969
5	32	4	11.7784	0.523897
6	32	4	13.728	0.523842
7	32	4	15.6766	0.523797
8	32	4	17.6267	0.52376
9	32	4	19.5769	0.523729
10	32	4	21.5226	0.523702
11	32	4	23.4663	0.523677
12	32	4	25.4121	0.523654
13	32	4	27.3565	0.523634
14	32	4	29.3089	0.523615
15	32	4	31.2517	0.523598
16	32	4	33.2032	0.523582
17	32	4	35.1497	0.523567
18	32	4	37.0968	0.523553
19	32	4	39.0461	0.523539
20	32	4	40.9966	0.523527
21	32	4	42.9487	0.523514
22	32	4	44.8985	0.523503
23	32	4	46.8533	0.523492
24	32	4	48.808	0.52348
25	32	4	50.7679	0.523469
26	32	4	52.7228	0.523457
27	32	4	54.6768	0.523445
28	32	4	56.6294	0.523432
29	32	4	58.576	0.523417
0	64	4	3.62979	0.524457
1	64	4	7.20394	0.521963
2	64	4	10.78	0.521173
3	64	4	14.3493	0.520659
4	64	4	17.9266	0.520114
5	64	4	21.502	0.519325
6	64	4	25.0804	0.518532
7	64	4	28.6565	0.517963
8	64	4	32.2437	0.517584
9	64	4	35.8238	0.517343
10	64	4	39.4192	0.51716
11	64	4	42.9994	0.517012
12	64	4	46.5784	0.516889
13	64	4	50.1527	0.516791
14	64	4	53.7348	0.516711
15	64	4	57.3147	0.516644
16	64	4	60.9028	0.516586
17	64	4	64.4815	0.516536
18	64	4	68.0701	0.516493
19	64	4	71.6594	0.516454
20	64	4	75.247	0.516419
21	64	4	78.8291	0.516388
22	64	4	82.4169	0.516359
23	64	4	86.009	0.516333
24	64	4	89.595	0.516309
25	64	4	93.1797	0.516286
26	64	4	96.7701	0.516263
27	64	4	100.359	0.516241
28	64	4	103.958	0.51622
29	64	4	107.544	0.516199
0	96	4	5.24976	0.522966
1	96	4	10.4294	0.519814
2	96	4	15.609	0.51799
3	96	4	20.7769	0.516401
4	96	4	25.954	0.515193
5	96	4	31.1313	0.514359
6	96	4	36.3146	0.513827
7	96	4	41.5027	0.513442
8	96	4	46.6915	0.513139
9	96	4	51.8766	0.512891
10	96	4	57.0624	0.512686
11	96	4	62.2343	0.512518
12	96	4	67.4014	0.512381
13	96	4	72.5796	0.51227
14	96	4	77.7538	0.512181
15	96	4	82.9226	0.512099
16	96	4	88.0956	0.512028
17	96	4	93.2616	0.511964
18	96	4	98.4311	0.51191
19	96	4	103.591	0.511862
20	96	4	108.766	0.511819
21	96	4	113.933	0.511778
22	96	4	119.106	0.511737
23	96	4	124.267	0.511697
24	96	4	129.431	0.511657
25	96	4	134.594	0.511617
26	96	4	139.76	0.511577
27	96	4	144.921	0.511539
28	96	4	150.084	0.511506
29	96	4	155.25	0.511473
0	32	5	2.11865	0.525706
1	32	5	4.14223	0.524072
2	32	5	6.15778	0.523686
3	32	5	8.1734	0.523506
4	32	5	10.189	0.523394
5	32	5	12.2052	0.523312
6	32	5	14.225	0.523241
7	32	5	16.3904	0.523167
8	32	5	18.5424	0.52307
9	32	5	20.7033	0.522936
10	32	5	22.8648	0.522764
11	32	5	25.0253	0.522492
12	32	5	27.1807	0.522082
13	32	5	29.3514	0.521667
14	32	5	31.5206	0.521223
15	32	5	33.6959	0.520806
16	32	5	35.8618	0.520594
17	32	5	38.0383	0.520481
18	32	5	40.2154	0.520404
19	32	5	42.4055	0.520346
20	32	5	44.5867	0.520299
21	32	5	46.782	0.52026
22	32	5	48.9769	0.520226
23	32	5	51.1638	0.520197
24	32	5	53.362	0.520171
25	32	5	55.5457	0.520224
26	32	5	57.7347	0.520109
27	32	5	59.9459	0.520088
28	32	5	62.1265	0.52014
29	32	5	64.3267	0.520042
0	64	5	3.70614	0.523678
1	64	5	7.41094	0.521317
2	64	5	11.1034	0.520472
3	64	5	14.7829	0.519616
4	64	5	18.45	0.518505
5	64	5	22.13	0.517579
6	64	5	25.8173	0.51701
7	64	5	29.7276	0.516636
8	64	5	33.6453	0.51635
9	64	5	37.5631	0.516116
10	64	5	41.4821	0.515923
11	64	5	45.4081	0.515758
12	64	5	49.3487	0.515615
13	64	5	53.3145	0.515493
14	64	5	57.2479	0.51539
15	64	5	61.1817	0.515299
16	64	5	65.1176	0.515219
17	64	5	69.0577	0.515145
18	64	5	72.9918	0.515076
19	64	5	76.9375	0.515012
20	64	5	80.8798	0.514953
21	64	5	84.8222	0.514896
22	64	5	88.7626	0.514843
23	64	5	92.7012	0.514793
24	64	5	96.6334	0.514746
25	64	5	100.573	0.514702
26	64	5	114.808	0.514661
27	64	5	118.74	0.514624
28	64	5	122.676	0.51459
29	64	5	126.607	0.514558
0	96	5	5.46161	0.522244
1	96	5	10.7858	0.51878
2	96	5	16.0886	0.516783
3	96	5	21.3716	0.515251
4	96	5	26.6638	0.514149
5	96	5	31.9699	0.513374
6	96	5	37.2798	0.512825
7	96	5	42.9182	0.512414
8	96	5	48.5347	0.512089
9	96	5	54.1633	0.51182
10	96	5	59.7959	0.511591
11	96	5	65.4341	0.511394
12	96	5	71.0749	0.511227
13	96	5	76.7388	0.511086
14	96	5	82.3841	0.510968
15	96	5	88.0416	0.510869
16	96	5	93.6835	0.510782
17	96	5	99.3337	0.510707
18	96	5	104.998	0.51064
19	96	5	110.651	0.510579
20	96	5	116.291	0.510524
21	96	5	121.946	0.510473
22	96	5	127.592	0.510425
23	96	5	133.245	0.510381
24	96	5	139.824	0.510341
25	96	5	145.466	0.510303
26	96	5	151.106	0.510269
27	96	5	156.751	0.510237
28	96	5	162.388	0.510206
29	96	5	168.062	0.510176
0	32	6	2.03545	0.52755
1	32	6	3.99832	0.525286
2	32	6	5.96197	0.523805
3	32	6	7.92987	0.522795
4	32	6	9.89731	0.522164
5	32	6	11.8585	0.521373
6	32	6	13.8228	0.520839
7	32	6	15.7862	0.519964
8	32	6	17.7501	0.519717
9	32	6	19.7146	0.519702
10	32	6	21.6856	0.519559
11	32	6	23.6479	0.519473
12	32	6	25.6181	0.51939
13	32	6	27.5836	0.519368
14	32	6	29.5481	0.519502
15	32	6	31.5138	0.519394
16	32	6	33.4844	0.519346
17	32	6	35.4508	0.519173
18	32	6	37.4178	0.519154
19	32	6	39.3843	0.519129
20	32	6	41.3504	0.519102
21	32	6	43.3149	0.519131
22	32	6	45.2777	0.519216
23	32	6	47.2439	0.519048
24	32	6	49.2141	0.519022
25	32	6	51.1763	0.519021
26	32	6	53.1456	0.519017
27	32	6	55.1133	0.519068
28	32	6	57.0834	0.519117
29	32	6	59.0452	0.518955
0	64	6	3.3615	0.526772
1	64	6	6.80919	0.522769
2	64	6	10.37	0.519684
3	64	6	13.9291	0.517145
4	64	6	17.4867	0.515593
5	64	6	21.042	0.515051
6	64	6	24.6083	0.514409
7	64	6	28.1632	0.514204
8	64	6	31.7227	0.513777
9	64	6	35.2768	0.513539
10	64	6	38.831	0.513275
11	64	6	42.4125	0.513098
12	64	6	45.9775	0.512973
13	64	6	49.5374	0.512882
14	64	6	53.1038	0.512828
15	64	6	56.665	0.512836
16	64	6	60.237	0.512879
17	64	6	63.7996	0.512913
18	64	6	67.3612	0.512818
19	64	6	70.9241	0.512729
20	64	6	74.4948	0.512696
21	64	6	78.0643	0.512844
22	64	6	81.6254	0.512664
23	64	6	85.192	0.512572
24	64	6	88.7543	0.512583
25	64	6	92.3138	0.512776
26	64	6	95.8826	0.512646
27	64	6	99.4403	0.512533
28	64	6	103.007	0.512475
29	64	6	106.574	0.51244
0	96	6	5.22027	0.526
1	96	6	10.3719	0.520748
2	96	6	15.5302	0.516109
3	96	6	20.6783	0.512466
4	96	6	25.8436	0.511334
5	96	6	31.0069	0.510464
6	96	6	36.1593	0.509671
7	96	6	41.3109	0.509252
8	96	6	46.47	0.508668
9	96	6	51.6262	0.508359
10	96	6	56.7811	0.508191
11	96	6	61.9318	0.508048
12	96	6	67.0954	0.507918
13	96	6	72.2552	0.507806
14	96	6	77.4147	0.507736
15	96	6	82.5771	0.507784
16	96	6	87.7381	0.507828
17	96	6	92.8938	0.507617
18	96	6	98.0539	0.50748
19	96	6	103.208	0.507396
20	96	6	108.369	0.507355
21	96	6	113.527	0.507379
22	96	6	118.688	0.507508
23	96	6	123.845	0.507484
24	96	6	129.004	0.507326
25	96	6	134.164	0.50723
26	96	6	139.334	0.507213
27	96	6	144.488	0.507251
28	96	6	149.646	0.507197
29	96	6	154.794	0.507134
