k algo nnls
16 0 0.00723345
16 1 0.066983
16 2 0.0241767
16 4 0.156943
16 5 0.263439
16 6 0.00601236
32 0 0.00877846
32 1 0.128931
32 2 0.03368
32 4 0.22757
32 5 0.37194
32 6 0.00641676
48 0 0.00982283
48 1 0.192704
48 2 0.0446561
48 4 0.299967
48 5 0.48693
48 6 0.0070367
64 0 0.0113338
64 1 0.256927
64 2 0.0577998
64 4 0.37395
64 5 0.617346
64 6 0.00772801
96 0 0.014619
96 1 0.381333
96 2 0.0981706
96 4 0.532038
96 5 0.894154
96 6 0.00924814

