iter	k	algo	totaltime	relerr	gpu
0	16	0	0.17099	0.529951	1
1	16	0	0.336891	0.524551	1
2	16	0	0.502844	0.52066	1
3	16	0	0.669313	0.51773	1
4	16	0	0.835047	0.515451	1
5	16	0	1.00098	0.513633	1
6	16	0	1.16718	0.512151	1
7	16	0	1.33336	0.510924	1
8	16	0	1.49913	0.509892	1
9	16	0	1.66524	0.509014	1
10	16	0	1.83086	0.508259	1
11	16	0	1.99698	0.507604	1
12	16	0	2.16316	0.507031	1
13	16	0	2.32887	0.506525	1
14	16	0	2.49529	0.506077	1
15	16	0	2.66129	0.505678	1
16	16	0	2.8274	0.505319	1
17	16	0	2.99299	0.504996	1
18	16	0	3.15882	0.504704	1
19	16	0	3.32458	0.504438	1
20	16	0	3.49081	0.504196	1
21	16	0	3.65654	0.503975	1
22	16	0	3.82281	0.503772	1
23	16	0	3.98922	0.503585	1
24	16	0	4.155	0.503412	1
25	16	0	4.32072	0.503253	1
26	16	0	4.48676	0.503105	1
27	16	0	4.65286	0.502967	1
28	16	0	4.81859	0.502839	1
29	16	0	4.98457	0.502719	1
0	16	0	0.161281	0.529951	0
1	16	0	0.320405	0.524551	0
2	16	0	0.478879	0.52066	0
3	16	0	0.637285	0.51773	0
4	16	0	0.7957	0.515451	0
5	16	0	0.954113	0.513633	0
6	16	0	1.11285	0.512151	0
7	16	0	1.27152	0.510924	0
8	16	0	1.42995	0.509892	0
9	16	0	1.58838	0.509014	0
10	16	0	1.74708	0.508259	0
11	16	0	1.90564	0.507604	0
12	16	0	2.064	0.507031	0
13	16	0	2.22241	0.506525	0
14	16	0	2.38088	0.506077	0
15	16	0	2.53926	0.505678	0
16	16	0	2.69763	0.505319	0
17	16	0	2.85573	0.504996	0
18	16	0	3.01486	0.504704	0
19	16	0	3.17385	0.504438	0
20	16	0	3.33304	0.504196	0
21	16	0	3.49186	0.503975	0
22	16	0	3.65003	0.503772	0
23	16	0	3.80818	0.503585	0
24	16	0	3.96631	0.503412	0
25	16	0	4.12449	0.503253	0
26	16	0	4.2827	0.503105	0
27	16	0	4.44089	0.502967	0
28	16	0	4.59913	0.502839	0
29	16	0	4.75732	0.502719	0
0	16	1	0.172835	0.49999	1
1	16	1	0.341421	0.499987	1
2	16	1	0.509504	0.499984	1
3	16	1	0.678033	0.499983	1
4	16	1	0.846713	0.499982	1
5	16	1	1.01576	0.499982	1
6	16	1	1.18408	0.499982	1
7	16	1	1.353	0.499982	1
8	16	1	1.52156	0.499981	1
9	16	1	1.68941	0.499981	1
10	16	1	1.85979	0.499981	1
11	16	1	2.02816	0.499981	1
12	16	1	2.1962	0.499981	1
13	16	1	2.36428	0.499981	1
14	16	1	2.53222	0.499981	1
15	16	1	2.70032	0.499981	1
16	16	1	2.86861	0.499981	1
17	16	1	3.03945	0.499981	1
18	16	1	3.20795	0.499981	1
19	16	1	3.37629	0.499981	1
20	16	1	3.5448	0.499981	1
21	16	1	3.71378	0.499981	1
22	16	1	3.88212	0.49998	1
23	16	1	4.05013	0.49998	1
24	16	1	4.22024	0.49998	1
25	16	1	4.38881	0.49998	1
26	16	1	4.55677	0.49998	1
27	16	1	4.72551	0.49998	1
28	16	1	4.8939	0.49998	1
29	16	1	5.06237	0.49998	1
0	16	1	0.164239	0.49999	0
1	16	1	0.324989	0.499987	0
2	16	1	0.48544	0.499984	0
3	16	1	0.645975	0.499983	0
4	16	1	0.80618	0.499982	0
5	16	1	0.966409	0.499982	0
6	16	1	1.12751	0.499982	0
7	16	1	1.2878	0.499982	0
8	16	1	1.44893	0.499981	0
9	16	1	1.60994	0.499981	0
10	16	1	1.77168	0.499981	0
11	16	1	1.9328	0.499981	0
