k algo nnls
16 0 0.00922625
16 1 0.0660526
16 2 0.03517
16 4 0.167453
16 5 0.315922
16 6 0.00685704
32 0 0.012518
32 1 0.123649
32 2 0.0549388
32 4 0.251605
32 5 0.484595
32 6 0.00766826
48 0 0.0159156
48 1 0.182818
48 2 0.0772245
48 4 0.334333
48 5 0.671499
48 6 0.00852854
64 0 0.0196484
64 1 0.244447
64 2 0.105606
64 4 0.423503
64 5 0.867106
64 6 0.00940434
96 0 0.0261327
96 1 0.36334
96 2 0.159712
96 4 0.608563
96 5 1.28092
96 6 0.0116671
