iter k algo time relerr
19 32 0 5.37438 0.212995
20 32 0 5.63862 0.21186
21 32 0 5.9027 0.21069
22 32 0 6.16977 0.20947
23 32 0 6.43095 0.208182
24 32 0 6.69474 0.206814
25 32 0 6.95943 0.205351
26 32 0 7.2251 0.203782
27 32 0 7.48939 0.202099
28 32 0 7.75242 0.200297
29 32 0 8.01182 0.19838
0 32 1 0.337938 0.339054
1 32 1 0.608557 0.330369
2 32 1 0.882237 0.327551
3 32 1 1.15266 0.325925
4 32 1 1.41945 0.325475
5 32 1 1.68654 0.325324
6 32 1 1.95497 0.325238
7 32 1 2.22313 0.32522
8 32 1 2.49302 0.325205
9 32 1 2.75879 0.325148
10 32 1 3.02825 0.32512
11 32 1 3.29639 0.325138
12 32 1 3.56126 0.325124
13 32 1 3.82935 0.325083
14 32 1 4.10253 0.325067
15 32 1 4.36898 0.325055
16 32 1 4.63932 0.325042
17 32 1 4.90788 0.325039
18 32 1 5.17715 0.325042
19 32 1 5.44572 0.325048
20 32 1 5.71554 0.325024
21 32 1 5.98741 0.325008
22 32 1 6.2553 0.325
23 32 1 6.52202 0.324994
24 32 1 6.79431 0.324988
25 32 1 7.06516 0.324981
26 32 1 7.33375 0.324991
27 32 1 7.59912 0.325002
28 32 1 7.86734 0.32501
29 32 1 8.1349 0.325019
0 32 2 0.344872 0.185183
1 32 2 0.612102 0.131192
2 32 2 0.882784 0.120446
3 32 2 1.14843 0.117003
4 32 2 1.41605 0.115071
5 32 2 1.68285 0.113605
6 32 2 1.94881 0.112427
7 32 2 2.21342 0.111459
8 32 2 2.4788 0.110649
9 32 2 2.74207 0.110017
10 32 2 3.01206 0.109525
11 32 2 3.27816 0.109169
12 32 2 3.5427 0.108909
13 32 2 3.80995 0.108709
14 32 2 4.07718 0.108544
15 32 2 4.34353 0.108403
16 32 2 4.61268 0.10828
17 32 2 4.87985 0.108179
18 32 2 5.14715 0.108095
19 32 2 5.4132 0.108023
20 32 2 5.68075 0.107958
21 32 2 5.9468 0.107898
22 32 2 6.21332 0.107839
23 32 2 6.48333 0.10778
24 32 2 6.7497 0.107723
25 32 2 7.01715 0.107667
26 32 2 7.28597 0.107613
27 32 2 7.55369 0.107566
28 32 2 7.82128 0.107521
29 32 2 8.0888 0.107478
0 32 4 0.352532 0.189558
1 32 4 0.628017 0.125063
2 32 4 0.90194 0.114425
3 32 4 1.1746 0.111367
4 32 4 1.44516 0.109784
5 32 4 1.71966 0.108921
6 32 4 1.99516 0.108484
7 32 4 2.26911 0.108241
8 32 4 2.53955 0.108085
9 32 4 2.81181 0.107976
10 32 4 3.08722 0.107894
11 32 4 3.36234 0.10783
12 32 4 3.65826 0.107779
13 32 4 3.93074 0.107735
14 32 4 4.20418 0.107698
15 32 4 4.4766 0.107666
16 32 4 4.74719 0.107637
17 32 4 5.017 0.107611
18 32 4 5.29122 0.107588
19 32 4 5.56666 0.107567
20 32 4 5.83774 0.107548
21 32 4 6.10804 0.107531
22 32 4 6.38214 0.107516
23 32 4 6.65171 0.107502
24 32 4 6.92288 0.107489
25 32 4 7.19461 0.107478
26 32 4 7.46671 0.107469
27 32 4 7.73938 0.10746
28 32 4 8.00958 0.107452
29 32 4 8.27951 0.107444
0 32 5 0.368214 0.191846
1 32 5 0.648223 0.132276
2 32 5 1.00098 0.119887
3 32 5 1.35287 0.116741
4 32 5 1.71219 0.115492
5 32 5 2.05121 0.114748
6 32 5 2.35124 0.114301
7 32 5 2.64042 0.113485
8 32 5 3.08435 0.113461
9 32 5 3.36853 0.113323
10 32 5 3.80055 0.113318
11 32 5 4.09808 0.113318
12 32 5 4.55923 0.113338
13 32 5 4.99296 0.113351
14 32 5 5.42851 0.113363
15 32 5 5.85951 0.113374
16 32 5 6.29082 0.113385
