k algo nnls
16 0 0.00873531
16 1 0.0664152
16 2 0.0279931
16 4 0.156848
16 5 0.0899833
16 6 0.0069007
32 0 0.0103818
32 1 0.127191
32 2 0.0384407
32 4 0.228603
32 5 0.167259
32 6 0.00745211
48 0 0.0122032
48 1 0.186387
48 2 0.0498615
48 4 0.300624
48 5 0.267818
48 6 0.00850301
64 0 0.0145677
64 1 0.250103
64 2 0.063756
64 4 0.377357
64 5 0.37818
64 6 0.00948878
96 0 0.0197182
96 1 0.480919
96 2 0.10923
96 4 0.669219
96 5 0.740714
96 6 0.0121077

