iter k algo time relerr 
19 32 0 6.13266 0.53296
20 32 0 6.43193 0.532758
21 32 0 6.73123 0.532568
22 32 0 7.03174 0.53239
23 32 0 7.32968 0.532222
24 32 0 7.6289 0.532063
25 32 0 7.92832 0.531913
26 32 0 8.22763 0.531771
27 32 0 8.52728 0.531635
28 32 0 8.82666 0.531506
29 32 0 9.12742 0.531382
0 32 1 0.383437 0.529229
1 32 1 0.680505 0.528616
2 32 1 0.98251 0.528371
3 32 1 1.28142 0.528205
4 32 1 1.58095 0.528111
5 32 1 1.87795 0.528052
6 32 1 2.17726 0.528005
7 32 1 2.47512 0.527961
8 32 1 2.77369 0.52792
9 32 1 3.07327 0.527887
10 32 1 3.37373 0.52786
11 32 1 3.6707 0.527842
12 32 1 3.96925 0.527826
13 32 1 4.26702 0.527813
14 32 1 4.56359 0.527802
15 32 1 4.86398 0.527792
16 32 1 5.16168 0.527785
17 32 1 5.45907 0.527779
18 32 1 5.76172 0.527774
19 32 1 6.06026 0.527769
20 32 1 6.35694 0.527754
21 32 1 6.656 0.52773
22 32 1 6.95229 0.527719
23 32 1 7.25167 0.527712
24 32 1 7.54784 0.527705
25 32 1 7.84539 0.527695
26 32 1 8.14308 0.527686
27 32 1 8.43991 0.527677
28 32 1 8.73685 0.527671
29 32 1 9.03251 0.527668
0 32 2 0.398289 0.540821
1 32 2 0.710324 0.528885
2 32 2 1.02691 0.526679
3 32 2 1.34114 0.526532
4 32 2 1.65684 0.527579
5 32 2 1.97256 0.528949
6 32 2 2.28668 0.529595
7 32 2 2.60087 0.528329
8 32 2 2.91507 0.527135
9 32 2 3.2295 0.525891
10 32 2 3.54276 0.524874
11 32 2 3.8572 0.524321
12 32 2 4.16872 0.524037
13 32 2 4.48284 0.523896
14 32 2 4.79732 0.523782
15 32 2 5.11218 0.523664
16 32 2 5.42492 0.523516
17 32 2 5.73763 0.523344
18 32 2 6.05077 0.523211
19 32 2 6.36378 0.523107
20 32 2 6.67811 0.523017
21 32 2 6.99225 0.522938
22 32 2 7.30674 0.522862
23 32 2 7.61953 0.5228
