k	algo	nnls
16	0	0.0104046
16	1	0.151243
16	2	0.0359824
16	4	0.265494
16	5	3.37678
16	6	0.0121972
32	0	0.0143885
32	1	0.22775
32	2	0.055787
32	4	0.397373
32	5	5.78846
32	6	0.0186951
48	0	0.0161615
48	1	0.346292
48	2	0.073817
48	4	0.539793
48	5	8.4424
48	6	0.0119958
64	0	0.0189922
64	1	0.455319
64	2	0.101601
64	4	0.627357
64	5	11.76
64	6	0.0133568
96	0	0.0331722
96	1	0.648739
96	2	0.149453
96	4	0.92265
96	5	19.687
96	6	0.0156205
