alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
5-256 0.381787 0.5028779999999999 1.4653200000000002 5.43095 0.0 0.00675236 0.00675236 0.085488 0.0 3.87584 0.08061950000000001 1.35476 0.577574 6.89627
5-32 0.458686 0.478979 1.21697 20.0586 0.0 0.00662669 0.00662669 0.0732315 0.0 17.6645 0.39621799999999996 1.87345 0.27775700000000003 21.27557
5-512 0.43134399999999995 0.5348310000000001 1.50325 4.74814 0.0 0.007956999999999999 0.007956999999999999 0.09057430000000001 0.0 3.05188 0.0716913 1.49702 0.532885 6.251390000000001
5-64 0.452475 0.369596 1.19097 11.9291 0.0 0.00725491 0.00725491 0.0770174 0.0 10.2436 0.232369 1.3331899999999999 0.367198 13.12007
6-1024 0.15771 0.455513 1.4682600000000001 2.28422 0.0 0.00945093 0.00945093 0.178392 0.0 1.86201 0.0368789 0.160655 0.8461629999999999 3.7524800000000003
6-128 0.143438 0.22970300000000002 0.746402 4.86031 0.0 0.0068324 0.0068324 0.052868 0.0 4.66626 0.110154 0.0109614 0.371183 5.606712
6-16 0.133377 0.324367 0.787465 28.1607 0.0 0.00629925 0.00629925 0.050486300000000005 0.0 27.4675 0.58867 0.0204553 0.3289 28.948165
6-256 0.172783 0.270509 0.854159 3.2534099999999997 0.0 0.00718802 0.00718802 0.0516351 0.0 3.10364 0.068344 0.010440000000000001 0.40856 4.107569
6-32 0.0757002 0.238062 0.53919 14.6517 0.0 0.00607762 0.00607762 0.0476435 0.0 14.2452 0.320405 0.0140486 0.22418000000000002 15.19089
6-512 0.158102 0.312519 0.9269700000000001 2.45494 0.0 0.00792008 0.00792008 0.056389499999999995 0.0 2.30816 0.058998300000000004 0.0109193 0.453075 3.3819100000000004
6-64 0.162859 0.211049 0.765219 8.0498 0.0 0.00627665 0.00627665 0.0513976 0.0 7.78023 0.184753 0.0119099 0.389758 8.815019
