algo,k,entity,time,algo-k
81x1x1x1,30,d,0,81x1x1x1-30
81x1x1x1,30,comm,0.0525746,81x1x1x1-30
81x1x1x1,30,comp,1.04205,81x1x1x1-30
81x1x1x1,30,allgather,0.023109,81x1x1x1-30
81x1x1x1,30,allreduce,0.00381693,81x1x1x1-30
81x1x1x1,30,reducescatter,0.0256487,81x1x1x1-30
81x1x1x1,30,gram,0.00328611,81x1x1x1-30
81x1x1x1,30,krp,0,81x1x1x1-30
81x1x1x1,30,mttkrp,0.810579,81x1x1x1-30
81x1x1x1,30,multittv,0.201691,81x1x1x1-30
81x1x1x1,30,nnls,0.0240303,81x1x1x1-30
27x3x1x1,30,d,0,27x3x1x1-30
27x3x1x1,30,comm,0.055412,27x3x1x1-30
27x3x1x1,30,comp,0.953684,27x3x1x1-30
27x3x1x1,30,allgather,0.0224419,27x3x1x1-30
27x3x1x1,30,allreduce,0.00500792,27x3x1x1-30
27x3x1x1,30,reducescatter,0.0279621,27x3x1x1-30
27x3x1x1,30,gram,0.00399419,27x3x1x1-30
27x3x1x1,30,krp,0,27x3x1x1-30
27x3x1x1,30,mttkrp,0.804004,27x3x1x1-30
27x3x1x1,30,multittv,0.116794,27x3x1x1-30
27x3x1x1,30,nnls,0.0264276,27x3x1x1-30
9x9x1x1,30,d,0,9x9x1x1-30
9x9x1x1,30,comm,0.047334,9x9x1x1-30
9x9x1x1,30,comp,0.917797,9x9x1x1-30
9x9x1x1,30,allgather,0.0232604,9x9x1x1-30
9x9x1x1,30,allreduce,0.00543496,9x9x1x1-30
9x9x1x1,30,reducescatter,0.0186386,9x9x1x1-30
9x9x1x1,30,gram,0.00414665,9x9x1x1-30
9x9x1x1,30,krp,0,9x9x1x1-30
9x9x1x1,30,mttkrp,0.800943,9x9x1x1-30
9x9x1x1,30,multittv,0.0856437,9x9x1x1-30
9x9x1x1,30,nnls,0.0244494,9x9x1x1-30
9x3x3x1,30,d,0,9x3x3x1-30
9x3x3x1,30,comm,0.052297,9x3x3x1-30
9x3x3x1,30,comp,0.916633,9x3x3x1-30
9x3x3x1,30,allgather,0.0227862,9x3x3x1-30
9x3x3x1,30,allreduce,0.00462242,9x3x3x1-30
9x3x3x1,30,reducescatter,0.0248884,9x3x3x1-30
9x3x3x1,30,gram,0.00326864,9x3x3x1-30
9x3x3x1,30,krp,0,9x3x3x1-30
9x3x3x1,30,mttkrp,0.799477,9x3x3x1-30
9x3x3x1,30,multittv,0.0859716,9x3x3x1-30
9x3x3x1,30,nnls,0.0258818,9x3x3x1-30
3x3x3x3,30,d,0,3x3x3x3-30
3x3x3x3,30,comm,0.0364853,3x3x3x3-30
3x3x3x3,30,comp,1.36009,3x3x3x3-30
3x3x3x3,30,allgather,0.00526125,3x3x3x3-30
3x3x3x3,30,allreduce,0.00413023,3x3x3x3-30
3x3x3x3,30,reducescatter,0.0270938,3x3x3x3-30
3x3x3x3,30,gram,0.00372842,3x3x3x3-30
3x3x3x3,30,krp,0,3x3x3x3-30
3x3x3x3,30,mttkrp,1.13207,3x3x3x3-30
3x3x3x3,30,multittv,0.196171,3x3x3x3-30
3x3x3x3,30,nnls,0.0264746,3x3x3x3-30
81x1x1x1,40,d,0,81x1x1x1-40
81x1x1x1,40,comm,0.0749424,81x1x1x1-40
81x1x1x1,40,comp,1.27495,81x1x1x1-40
81x1x1x1,40,allgather,0.0220961,81x1x1x1-40
81x1x1x1,40,allreduce,0.0160744,81x1x1x1-40
81x1x1x1,40,reducescatter,0.0367719,81x1x1x1-40
81x1x1x1,40,gram,0.00436917,81x1x1x1-40
81x1x1x1,40,krp,0,81x1x1x1-40
81x1x1x1,40,mttkrp,0.960239,81x1x1x1-40
81x1x1x1,40,multittv,0.272928,81x1x1x1-40
81x1x1x1,40,nnls,0.0344259,81x1x1x1-40
27x3x1x1,40,d,0,27x3x1x1-40
27x3x1x1,40,comm,0.0813578,27x3x1x1-40
27x3x1x1,40,comp,1.15078,27x3x1x1-40
27x3x1x1,40,allgather,0.0272191,27x3x1x1-40
27x3x1x1,40,allreduce,0.0151843,27x3x1x1-40
27x3x1x1,40,reducescatter,0.0389544,27x3x1x1-40
27x3x1x1,40,gram,0.00412368,27x3x1x1-40
27x3x1x1,40,krp,0,27x3x1x1-40
27x3x1x1,40,mttkrp,0.955962,27x3x1x1-40
27x3x1x1,40,multittv,0.150983,27x3x1x1-40
27x3x1x1,40,nnls,0.0368568,27x3x1x1-40
9x9x1x1,40,d,0,9x9x1x1-40
9x9x1x1,40,comm,0.0748622,9x9x1x1-40
9x9x1x1,40,comp,1.10155,9x9x1x1-40
9x9x1x1,40,allgather,0.0205756,9x9x1x1-40
9x9x1x1,40,allreduce,0.0148321,9x9x1x1-40
9x9x1x1,40,reducescatter,0.0394546,9x9x1x1-40
9x9x1x1,40,gram,0.0044169,9x9x1x1-40
9x9x1x1,40,krp,0,9x9x1x1-40
9x9x1x1,40,mttkrp,0.952678,9x9x1x1-40
9x9x1x1,40,multittv,0.106394,9x9x1x1-40
9x9x1x1,40,nnls,0.0355038,9x9x1x1-40
9x3x3x1,40,d,0,9x3x3x1-40
9x3x3x1,40,comm,0.0788357,9x3x3x1-40
9x3x3x1,40,comp,1.10162,9x3x3x1-40
9x3x3x1,40,allgather,0.0270137,9x3x3x1-40
9x3x3x1,40,allreduce,0.0141643,9x3x3x1-40
9x3x3x1,40,reducescatter,0.0376576,9x3x3x1-40
9x3x3x1,40,gram,0.00393291,9x3x3x1-40
9x3x3x1,40,krp,0,9x3x3x1-40
9x3x3x1,40,mttkrp,0.951659,9x3x3x1-40
9x3x3x1,40,multittv,0.105309,9x3x3x1-40
9x3x3x1,40,nnls,0.0384563,9x3x3x1-40
3x3x3x3,40,d,0,3x3x3x3-40
3x3x3x3,40,comm,0.0606635,3x3x3x3-40
3x3x3x3,40,comp,1.66392,3x3x3x3-40
3x3x3x3,40,allgather,0.0182381,3x3x3x3-40
3x3x3x3,40,allreduce,0.0119029,3x3x3x3-40
3x3x3x3,40,reducescatter,0.0305225,3x3x3x3-40
3x3x3x3,40,gram,0.00396698,3x3x3x3-40
3x3x3x3,40,krp,0,3x3x3x3-40
3x3x3x3,40,mttkrp,1.36215,3x3x3x3-40
3x3x3x3,40,multittv,0.256851,3x3x3x3-40
3x3x3x3,40,nnls,0.0391067,3x3x3x3-40
81x1x1x1,50,d,0,81x1x1x1-50
81x1x1x1,50,comm,0.0773194,81x1x1x1-50
81x1x1x1,50,comp,1.52684,81x1x1x1-50
81x1x1x1,50,allgather,0.021245,81x1x1x1-50
81x1x1x1,50,allreduce,0.0210587,81x1x1x1-50
