k	algo	nnls
16	0	0.00594128
16	1	0.0734944
16	2	0.017647
16	4	0.173798
16	5	3.48512
32	0	0.00631371
32	1	0.147948
32	2	0.0233034
32	4	0.236503
32	5	3.8865
64	0	0.00844897
64	1	0.300467
64	2	0.0405156
64	4	0.393048
64	5	5.03299
96	0	0.00955047
96	1	0.444684
96	2	0.0710771
96	4	0.56585
96	5	6.72315
