k algo nnls 
16 0 0.00645136
16 1 0.0561411
16 2 0.0270116
16 4 0.131342
16 5 0.0940119
32 0 0.00821732
32 1 0.10897
32 2 0.0406985
32 4 0.218684
32 5 0.338348
64 0 0.0116422
64 1 0.21616
64 2 0.0733518
64 4 0.372586
64 5 0.663075
96 0 0.0142739
96 1 0.297417
96 2 0.121696
96 4 0.505457
96 5 0.784952
128 0 0.0187065
128 1 0.407283
128 2 0.181155
128 4 0.66428
128 5 1.2414
