runs	algo	iter	totaltime	err	relerr
2	HALS	14	171.73	41518.5	0.842991
2	HALS	15	183.97	41464.7	0.8419
2	HALS	16	196.3	41436.6	0.841329
2	HALS	17	208.59	41414.5	0.84088
2	HALS	18	220.82	41393.7	0.840458
2	HALS	19	233.07	41374.6	0.84007
2	HALS	20	245.32	41359.6	0.839765
2	HALS	21	257.55	41348.9	0.839548
2	HALS	22	269.81	41339.6	0.83936
2	HALS	23	282.05	41327.5	0.839114
2	HALS	24	294.29	41309.5	0.838749
2	HALS	25	306.53	41290.3	0.838359
2	HALS	26	318.79	41278.4	0.838117
2	HALS	27	331.03	41272.9	0.838006
2	HALS	28	343.26	41270.3	0.837953
2	HALS	29	355.51	41268.8	0.837921
2	BPP	1	15.78	45805.1	0.930027
2	BPP	2	31.57	44052.5	0.894442
2	BPP	3	47.35	43116.5	0.875438
2	BPP	4	63.13	42463.7	0.862184
2	BPP	5	78.9	42004.5	0.85286
2	BPP	6	94.7	41774.1	0.848182
2	BPP	7	110.46	41652.3	0.845708
2	BPP	8	126.28	41588.4	0.844412
2	BPP	9	142.3	41551	0.843652
2	BPP	10	158.14	41524.8	0.843119
2	BPP	11	173.91	41501.7	0.842651
2	BPP	12	189.68	41471.2	0.842031
2	BPP	13	205.45	41432.8	0.841253
2	BPP	14	221.22	41403.2	0.84065
2	BPP	15	236.98	41378.8	0.840156
2	BPP	16	252.75	41355	0.839672
2	BPP	17	268.53	41331	0.839185
2	BPP	18	284.28	41307.8	0.838714
2	BPP	19	300.08	41291	0.838372
2	BPP	20	315.86	41282.7	0.838204
2	BPP	21	331.64	41279.3	0.838134
2	BPP	22	347.42	41277.7	0.838103
2	BPP	23	363.21	41276.9	0.838087
2	BPP	24	378.99	41276.4	0.838076
2	BPP	25	394.79	41275.9	0.838067
2	BPP	26	410.55	41275.5	0.838059
2	BPP	27	426.3	41275.1	0.83805
2	BPP	28	442.07	41274.6	0.838039
2	BPP	29	457.88	41273.9	0.838027
3	MU	1	11.65	48209.6	0.978848
3	MU	2	23.27	47897.4	0.972509
3	MU	3	34.97	47628	0.96704
3	MU	4	46.59	47105.3	0.956426
3	MU	5	58.21	46378.1	0.941662
3	MU	6	69.84	45683.8	0.927564
3	MU	7	81.48	45016	0.914004
3	MU	8	93.14	44448.4	0.90248
3	MU	9	104.77	44004.7	0.893472
3	MU	10	116.4	43660.1	0.886476
3	MU	11	128.04	43372.1	0.880628
3	MU	12	139.69	43124.1	0.875592
3	MU	13	151.35	42926.9	0.871588
3	MU	14	163.02	42772.3	0.86845
3	MU	15	174.69	42641.5	0.865793
3	MU	16	186.39	42525.9	0.863447
3	MU	17	198.11	42430.5	0.861509
3	MU	18	209.85	42354.9	0.859975
3	MU	19	221.65	42291.1	0.858679
3	MU	20	233.46	42232.6	0.85749
3	MU	21	245.34	42176.9	0.856359
3	MU	22	257.26	42124	0.855287
3	MU	23	269.25	42075.4	0.854299
3	MU	24	281.31	42032.9	0.853436
3	MU	25	293.46	41997.4	0.852716
3	MU	26	305.68	41968.4	0.852128
3	MU	27	317.97	41944.3	0.851638
3	MU	28	330.35	41923.7	0.85122
3	MU	29	342.82	41905.6	0.850852
#3	HALS	1	12.35	3.21E+06	65.1244
3	HALS	2	24.5	47697.8	0.968456
3	HALS	3	36.63	47341.2	0.961216
3	HALS	4	48.88	46703.3	0.948264
3	HALS	5	61.14	44929.6	0.912251
3	HALS	6	73.38	43909.9	0.891546
3	HALS	7	85.63	43231.4	0.877771
3	HALS	8	98.47	42770.3	0.868409
3	HALS	9	110.82	42407.3	0.861039
3	HALS	10	123.03	42135.3	0.855516
3	HALS	11	135.24	41909.9	0.850938
3	HALS	12	147.43	41786.2	0.848427
3	HALS	13	159.64	41687.5	0.846423
3	HALS	14	171.83	41593.5	0.844514
3	HALS	15	184.07	41524.2	0.843108
3	HALS	16	196.26	41484.4	0.8423
3	HALS	17	208.43	41458.5	0.841773
3	HALS	18	220.62	41436	0.841316
3	HALS	19	232.83	41414.4	0.840879
3	HALS	20	245.03	41394.4	0.840472
3	HALS	21	257.22	41379.3	0.840165
3	HALS	22	269.41	41369.7	0.83997
3	HALS	23	281.6	41363.8	0.83985
3	HALS	24	293.81	41359.8	0.839771
3	HALS	25	305.98	41356.9	0.839711
3	HALS	26	318.17	41354.5	0.839663
3	HALS	27	330.36	41352.4	0.83962
3	HALS	28	342.57	41350.5	0.839581
3	HALS	29	354.75	41348.6	0.839543
3	BPP	1	15.79	44759.5	0.908798
3	BPP	2	31.58	43676.6	0.88681
3	BPP	3	47.39	43173.5	0.876596
3	BPP	4	63.18	42731.8	0.867627
3	BPP	5	78.96	42265.4	0.858158
3	BPP	6	94.77	41902.4	0.850787
3	BPP	7	110.57	41696.8	0.846612
3	BPP	8	126.55	41556.5	0.843764
3	BPP	9	142.81	41467.9	0.841965
3	BPP	10	158.66	41405.9	0.840706
3	BPP	11	174.47	41363.6	0.839846
3	BPP	12	190.41	41339.6	0.83936
3	BPP	13	206.2	41326	0.839083
3	BPP	14	221.99	41317.4	0.838909
3	BPP	15	237.77	41311	0.838779
3	BPP	16	253.55	41305.6	0.83867
3	BPP	17	269.7	41300.6	0.838568
3	BPP	18	285.49	41295.9	0.838473
3	BPP	19	301.29	41291.6	0.838386
3	BPP	20	317.06	41287.9	0.83831
