iter	k	algo	totaltime	relerr	gpu
0	16	0	0.167154	0.289946	1
1	16	0	0.331027	0.276363	1
2	16	0	0.494815	0.266318	1
3	16	0	0.658172	0.258515	1
4	16	0	0.826783	0.252268	1
5	16	0	0.990317	0.24714	1
6	16	0	1.15355	0.242843	1
7	16	0	1.31671	0.239177	1
8	16	0	1.47974	0.235996	1
9	16	0	1.64296	0.233197	1
10	16	0	1.80623	0.2307	1
11	16	0	1.96942	0.228442	1
12	16	0	2.13255	0.226377	1
13	16	0	2.2977	0.224466	1
14	16	0	2.46072	0.222677	1
15	16	0	2.6241	0.220985	1
16	16	0	2.78717	0.219369	1
17	16	0	2.95262	0.217811	1
18	16	0	3.11592	0.216294	1
19	16	0	3.27912	0.214808	1
20	16	0	3.44244	0.213339	1
21	16	0	3.6064	0.211879	1
22	16	0	3.7694	0.210419	1
23	16	0	3.93285	0.208953	1
24	16	0	4.09607	0.207474	1
25	16	0	4.25918	0.205978	1
26	16	0	4.42234	0.204462	1
27	16	0	4.58567	0.202922	1
28	16	0	4.74963	0.201356	1
29	16	0	4.91276	0.199765	1
0	16	0	0.160407	0.289946	0
1	16	0	0.319172	0.276363	0
2	16	0	0.478843	0.266318	0
3	16	0	0.637739	0.258515	0
4	16	0	0.796554	0.252268	0
5	16	0	0.955391	0.24714	0
6	16	0	1.11416	0.242843	0
7	16	0	1.27292	0.239177	0
8	16	0	1.43181	0.235996	0
9	16	0	1.5907	0.233197	0
10	16	0	1.75061	0.2307	0
11	16	0	1.90954	0.228442	0
12	16	0	2.06825	0.226377	0
13	16	0	2.22701	0.224466	0
14	16	0	2.38574	0.222677	0
15	16	0	2.54467	0.220985	0
16	16	0	2.70362	0.219369	0
17	16	0	2.86555	0.217811	0
18	16	0	3.02579	0.216294	0
19	16	0	3.18481	0.214808	0
20	16	0	3.34354	0.213339	0
21	16	0	3.50237	0.211879	0
22	16	0	3.66133	0.210419	0
23	16	0	3.82009	0.208953	0
24	16	0	3.97874	0.207474	0
25	16	0	4.13868	0.205978	0
26	16	0	4.2972	0.204462	0
27	16	0	4.45608	0.202922	0
28	16	0	4.61495	0.201356	0
29	16	0	4.77379	0.199765	0
0	16	1	0.168639	0.306359	1
1	16	1	0.334003	0.241667	1
2	16	1	0.499104	0.206628	1
3	16	1	0.664294	0.181773	1
4	16	1	0.829474	0.163052	1
5	16	1	0.997458	0.149762	1
6	16	1	1.16225	0.141625	1
7	16	1	1.32753	0.13601	1
8	16	1	1.49535	0.13152	1
9	16	1	1.6605	0.127304	1
10	16	1	1.82801	0.122994	1
11	16	1	1.99306	0.118957	1
12	16	1	2.15893	0.115373	1
13	16	1	2.32439	0.11192	1
14	16	1	2.4893	0.108516	1
15	16	1	2.65453	0.105275	1
16	16	1	2.81946	0.102289	1
17	16	1	2.98448	0.0995554	1
18	16	1	3.14965	0.0970082	1
19	16	1	3.31664	0.094558	1
20	16	1	3.48197	0.092099	1
21	16	1	3.64693	0.0895567	1
22	16	1	3.81207	0.0869039	1
23	16	1	3.97806	0.084177	1
24	16	1	4.14329	0.0814687	1
25	16	1	4.30826	0.0788375	1
26	16	1	4.47331	0.0763158	1
27	16	1	4.63893	0.0739071	1
28	16	1	4.80391	0.0716301	1
29	16	1	4.96891	0.0695058	1
0	16	1	0.16317	0.306359	0
1	16	1	0.324446	0.241667	0
