iter k algo time relerr
16 32 0 24.8551 0.17487
17 32 0 26.3225 0.173824
18 32 0 27.8074 0.172844
19 32 0 29.2604 0.171922
20 32 0 30.7136 0.171052
21 32 0 32.1681 0.170228
22 32 0 33.62 0.169447
23 32 0 35.0704 0.168703
24 32 0 36.5226 0.167992
25 32 0 37.9793 0.167311
26 32 0 39.4422 0.166658
27 32 0 40.8951 0.166028
28 32 0 42.3504 0.165421
29 32 0 43.8092 0.164832
0 32 1 1.5101 0.246959
1 32 1 2.97634 0.195253
2 32 1 4.44907 0.16598
3 32 1 5.91165 0.147307
4 32 1 7.376 0.134281
5 32 1 8.83639 0.126193
6 32 1 10.2974 0.120838
7 32 1 11.7559 0.116733
8 32 1 13.2163 0.112889
9 32 1 14.675 0.109074
10 32 1 16.1326 0.105853
11 32 1 17.5999 0.103344
12 32 1 19.0602 0.101314
13 32 1 20.524 0.0995352
14 32 1 21.9894 0.0979025
15 32 1 23.4456 0.0963832
16 32 1 24.9116 0.0949471
17 32 1 26.3739 0.0935661
18 32 1 27.8322 0.0922051
19 32 1 29.3088 0.0908354
20 32 1 30.7928 0.0894461
21 32 1 32.2501 0.0880494
22 32 1 33.7177 0.0866659
23 32 1 35.1725 0.0853034
24 32 1 36.6267 0.0839471
25 32 1 38.0797 0.0825575
26 32 1 39.5343 0.0811024
27 32 1 40.9913 0.0795541
28 32 1 42.4465 0.0779122
29 32 1 43.9051 0.0762086
0 32 2 1.5189 0.449683
1 32 2 2.97537 0.118779
2 32 2 4.43285 0.0892543
3 32 2 5.89073 0.0825386
4 32 2 7.34573 0.0791278
5 32 2 8.79626 0.0755152
6 32 2 10.2873 0.0713404
7 32 2 11.7467 0.0665658
8 32 2 13.2 0.0610889
9 32 2 14.6495 0.0550015
10 32 2 16.1015 0.048876
11 32 2 17.5511 0.0432025
12 32 2 19.0034 0.0377301
13 32 2 20.4554 0.0322455
14 32 2 21.9149 0.0274453
15 32 2 23.3677 0.0239936
16 32 2 24.8328 0.0217727
17 32 2 26.2919 0.0203036
18 32 2 27.7455 0.0190488
19 32 2 29.1973 0.017459
20 32 2 30.6834 0.0150286
21 32 2 32.1374 0.0117
22 32 2 33.5918 0.00827204
23 32 2 35.0422 0.00563244
24 32 2 36.4926 0.00398199
25 32 2 37.9462 0.00306675
26 32 2 39.402 0.00257182
27 32 2 40.8513 0.00228042
28 32 2 42.3073 0.00208033
29 32 2 43.7612 0.00192229
0 32 4 1.52594 0.147367
1 32 4 2.99091 0.106999
2 32 4 4.4596 0.0919512
3 32 4 5.92695 0.086543
4 32 4 7.39276 0.0836373
5 32 4 8.86369 0.0809324
6 32 4 10.3343 0.0782216
7 32 4 11.8021 0.0753417
8 32 4 13.2666 0.071894
9 32 4 14.7283 0.0676573
10 32 4 16.1917 0.063286
11 32 4 17.6554 0.058947
12 32 4 19.1233 0.0543319
13 32 4 20.5825 0.0494134
14 32 4 22.0601 0.0444134
15 32 4 23.5338 0.039532
16 32 4 24.9968 0.0348603
17 32 4 26.4587 0.03044
18 32 4 27.9231 0.0261359
19 32 4 29.3851 0.0217424
20 32 4 30.848 0.0173663
21 32 4 32.3086 0.0135489
22 32 4 33.7724 0.0107925
23 32 4 35.2432 0.00912145
24 32 4 36.7023 0.0082322
25 32 4 38.1651 0.00778979
26 32 4 39.6309 0.00755038
27 32 4 41.093 0.0074503
28 32 4 42.5561 0.0073982
29 32 4 44.0172 0.00736337
0 32 5 1.52977 0.156036
1 32 5 2.99499 0.1559
2 32 5 4.45872 0.155466
3 32 5 5.92785 0.150348
4 32 5 7.40304 0.1112
5 32 5 8.86696 0.104382
6 32 5 10.3327 0.100552
7 32 5 12.5438 0.0987181
8 32 5 14.7463 0.127295
9 32 5 16.9518 0.127295
10 32 5 18.4235 0.127295
11 32 5 20.6242 0.127295
12 32 5 22.8252 0.127295
13 32 5 25.024 0.127295
14 32 5 27.225 0.127295
15 32 5 29.4178 0.127295
16 32 5 31.621 0.127295
17 32 5 33.8198 0.127295
18 32 5 36.014 0.127295
19 32 5 38.2094 0.127295
20 32 5 40.4113 0.127295
21 32 5 42.6017 0.127295
22 32 5 44.7967 0.127295
23 32 5 46.99 0.127295
24 32 5 49.1843 0.127295
