iter	k	algo	totaltime	relerr	gpu
4	16	2	0.164773	0.939894	0
5	16	2	0.195974	0.939893	0
6	16	2	0.227157	0.939893	0
7	16	2	0.258986	0.939892	0
8	16	2	0.29016	0.939892	0
9	16	2	0.321252	0.939892	0
10	16	2	0.352403	0.939891	0
11	16	2	0.383555	0.939891	0
12	16	2	0.414728	0.939891	0
13	16	2	0.44638	0.939891	0
14	16	2	0.477826	0.939891	0
15	16	2	0.509123	0.939891	0
16	16	2	0.540642	0.939891	0
17	16	2	0.571912	0.939891	0
18	16	2	0.603007	0.939891	0
19	16	2	0.634043	0.939891	0
20	16	2	0.665168	0.939891	0
21	16	2	0.696156	0.939892	0
22	16	2	0.727473	0.939892	0
23	16	2	0.758567	0.939892	0
24	16	2	0.789683	0.939893	0
25	16	2	0.820913	0.939894	0
26	16	2	0.852196	0.939895	0
27	16	2	0.883192	0.939898	0
28	16	2	0.914589	0.939902	0
29	16	2	0.945579	0.939905	0
0	16	4	0.14049	0.939894	1
1	16	4	0.283151	0.939894	1
2	16	4	0.397713	0.939894	1
3	16	4	0.508175	0.939894	1
4	16	4	0.620816	0.939894	1
5	16	4	0.744229	0.939894	1
6	16	4	0.90906	0.939894	1
7	16	4	1.06076	0.939894	1
8	16	4	1.18666	0.939894	1
9	16	4	1.30922	0.939894	1
10	16	4	1.43058	0.939894	1
11	16	4	1.54297	0.939894	1
12	16	4	1.64902	0.939894	1
13	16	4	1.75534	0.939894	1
14	16	4	1.86152	0.939894	1
15	16	4	1.96768	0.939894	1
16	16	4	2.07424	0.939894	1
17	16	4	2.1801	0.939894	1
18	16	4	2.28695	0.939894	1
19	16	4	2.39248	0.939894	1
20	16	4	2.50335	0.939894	1
21	16	4	2.6117	0.939894	1
22	16	4	2.71863	0.939894	1
23	16	4	2.82476	0.939894	1
24	16	4	2.93099	0.939894	1
25	16	4	3.03685	0.939894	1
26	16	4	3.14255	0.939894	1
27	16	4	3.24838	0.939894	1
28	16	4	3.35474	0.939894	1
29	16	4	3.46023	0.939894	1
0	16	4	0.0412855	0.939894	0
1	16	4	0.0787501	0.939894	0
2	16	4	0.115656	0.939894	0
3	16	4	0.152928	0.939894	0
4	16	4	0.18983	0.939894	0
5	16	4	0.227106	0.939894	0
6	16	4	0.264387	0.939894	0
7	16	4	0.301585	0.939894	0
8	16	4	0.338438	0.939894	0
9	16	4	0.378724	0.939894	0
