k algo nnls 
16 0 0.00679548
16 1 0.0772195
16 2 0.0302452
16 4 0.197398
16 5 4.61913
32 0 0.00915285
32 1 0.148673
32 2 0.0436202
32 4 0.301764
32 5 6.35212
64 0 0.0135152
64 1 0.491824
64 2 0.0731154
64 4 0.600356
64 5 8.10887
96 0 0.0159728
96 1 0.4041
96 2 0.121845
96 4 1.05532
96 5 12.055
128 0 0.0200814
128 1 1.12164
128 2 0.201247
128 4 1.51817
128 5 16.1598
