alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1 0.00146212 0.00107964 0.00697504 2.13294 0.0 0.00555207 0.00555207 0.0300011 0.0 1.86096 0.121092 0.104599 0.00440297 2.13991504
0-27 0.0169972 0.112553 0.595627 2.01801 0.0 0.0064928 0.0064928 0.0269108 0.0 1.83598 0.116736 0.0180841 0.464936 2.613637
0-64 0.0167215 0.119821 0.570146 2.05025 0.0 0.00685527 0.00685527 0.0287216 0.0 1.86375 0.121859 0.0138128 0.431583 2.620396
0-8 0.00713091 0.0616031 0.266616 2.0594 0.0 0.0055513 0.0055513 0.0259226 0.0 1.86378 0.120756 0.0307358 0.19727 2.326016
1-1 0.00118577 0.00107499 0.00687913 2.181 0.0 0.00548376 0.00548376 0.0318883 0.0 1.86075 0.119539 0.152277 0.00458699 2.18787913
1-27 0.0168814 0.110271 0.591829 2.24938 0.0 0.00677485 0.00677485 0.0279265 0.0 1.87271 0.116863 0.211334 0.46354 2.841209
1-64 0.015123 0.122476 0.609011 2.30003 0.0 0.00684109 0.00684109 0.0290033 0.0 1.86515 0.122921 0.261328 0.470011 2.909041
1-8 0.00706846 0.049102 0.348985 2.18095 0.0 0.00554737 0.00554737 0.0271735 0.0 1.86242 0.120209 0.152818 0.292215 2.529935
2-1 0.00148217 0.0010904 0.0070612 2.85786 0.0 0.00544004 0.00544004 0.0299959 0.0 1.8603 0.122501 0.829172 0.00445464 2.8649212
2-27 0.0179401 0.112584 0.563322 2.13576 0.0 0.00633944 0.00633944 0.0265952 0.0 1.84119 0.117325 0.130752 0.4316 2.699082
2-64 0.0166941 0.121217 0.578982 2.13474 0.0 0.0065536 0.0065536 0.0285608 0.0 1.86529 0.124699 0.0949434 0.439507 2.713722
2-8 0.0071655 0.0632145 0.264039 2.40296 0.0 0.00558941 0.00558941 0.0258239 0.0 1.9803 0.121082 0.257655 0.193073 2.666999
4-1 0.00147045 0.00110628 0.00702851 3.60567 0.0 0.00506879 0.00506879 0.0304299 0.0 1.97305 0.121037 1.46521 0.00441682 3.61269851
4-27 0.0176658 0.124559 0.604255 2.41355 0.0 0.00661992 0.00661992 0.0280446 0.0 1.83707 0.116994 0.411029 0.460865 3.017805
4-64 0.0155992 0.1084 0.521409 2.52518 0.0 0.00782244 0.00782244 0.0288439 0.0 1.91581 0.124768 0.432781 0.395147 3.046589
4-8 0.00730063 0.0696247 0.25867 2.65659 0.0 0.00609203 0.00609203 0.0258989 0.0 1.97963 0.120266 0.512147 0.181162 2.91526
5-1 0.00147186 0.00108156 0.00702512 5.53222 0.0 0.00513131 0.00513131 0.0309289 0.0 1.8581 0.121497 3.50612 0.00443719 5.53924512
5-27 0.0151529 0.112605 0.583977 2.51146 0.0 0.00634169 0.00634169 0.0275365 0.0 1.83602 0.117132 0.510812 0.454961 3.095437
5-64 0.0156439 0.120878 0.573322 2.53355 0.0 0.00640136 0.00640136 0.0282323 0.0 1.86526 0.123774 0.494662 0.43517 3.106872
5-8 0.00715932 0.0771098 0.350186 2.78444 0.0 0.00549993 0.00549993 0.0262008 0.0 1.8613 0.121457 0.757441 0.265271 3.134626
